,network_path,image_id,original_label,tmp_path,epsilon_value,smallest_sat_value,total_time,verifier
0,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,0,7,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_0,0.05,0.05,0.0614910125732421,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
1,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,1,2,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_1,0.05,0.05,0.0054380893707275,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
2,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,2,1,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_2,0.05,0.05,0.0057473182678222,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
3,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,3,0,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_3,0.05,0.05,0.0062718391418457,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
4,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,4,4,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_4,0.05,0.05,0.0056347846984863,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
5,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,5,1,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_5,0.05,0.05,0.0058991909027099,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
6,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,6,4,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_6,0.0,0.05,0.0056111812591552,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
7,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,7,9,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_7,0.05,0.05,0.005544900894165,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
8,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,8,5,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_8,0.05,0.05,0.0053026676177978,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
9,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,9,9,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_9,0.05,0.05,0.0055932998657226,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
10,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,10,0,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_10,0.05,0.05,0.0052640438079833,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
11,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,11,6,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_11,0.05,0.05,0.0055451393127441,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
12,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,12,9,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_12,0.05,0.05,0.0055851936340332,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
13,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,13,0,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_13,0.05,0.05,0.0064120292663574,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
14,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,14,1,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_14,0.05,0.05,0.0091185569763183,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
15,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,15,5,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_15,0.05,0.05,0.0058591365814208,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
16,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,16,9,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_16,0.05,0.05,0.0053963661193847,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
17,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,17,7,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_17,0.05,0.05,0.0079946517944335,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
18,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,18,3,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_18,0.0,0.05,0.0055465698242187,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
19,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,19,4,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_19,0.05,0.05,0.0055799484252929,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
20,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,20,9,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_20,0.05,0.05,0.0060460567474365,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
21,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,21,6,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_21,0.05,0.05,0.0054428577423095,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
22,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,22,6,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_22,0.05,0.05,0.0052676200866699,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
23,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,23,5,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_23,0.05,0.05,0.0057513713836669,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
24,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,24,4,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_24,0.05,0.05,0.0053002834320068,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
25,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,25,0,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_25,0.05,0.05,0.0065250396728515,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
26,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,26,7,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_26,0.05,0.05,0.0056023597717285,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
27,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,27,4,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_27,0.05,0.05,0.0059931278228759,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
28,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,28,0,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_28,0.05,0.05,0.00545334815979,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
29,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,29,1,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_29,0.05,0.05,0.0057580471038818,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
30,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,30,3,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_30,0.05,0.05,0.0054836273193359,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
31,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,31,1,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_31,0.05,0.05,0.006227970123291,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
32,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,32,3,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_32,0.05,0.05,0.0058884620666503,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
33,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,33,4,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_33,0.0,0.05,0.005721092224121,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
34,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,34,7,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_34,0.05,0.05,0.0057179927825927,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
35,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,35,2,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_35,0.05,0.05,0.00547456741333,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
36,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,36,7,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_36,0.05,0.05,0.0059583187103271,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
37,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,37,1,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_37,0.05,0.05,0.0060052871704101,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
38,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,38,2,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_38,0.05,0.05,0.005558967590332,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
39,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,39,1,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_39,0.05,0.05,0.005446434020996,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
40,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,40,1,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_40,0.05,0.05,0.0054118633270263,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
41,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,41,7,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_41,0.05,0.05,0.0053439140319824,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
42,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,42,4,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_42,0.05,0.05,0.0056726932525634,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
43,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,43,2,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_43,0.0,0.05,0.0070946216583251,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
44,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,44,3,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_44,0.05,0.05,0.006545066833496,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
45,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,45,5,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_45,0.05,0.05,0.005854845046997,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
46,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,46,1,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_46,0.05,0.05,0.0056860446929931,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
47,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,47,2,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_47,0.05,0.05,0.0058991909027099,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
48,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,48,4,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_48,0.05,0.05,0.0062348842620849,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
49,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,49,4,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_49,0.05,0.05,0.005960464477539,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
50,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,50,6,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_50,0.05,0.05,0.0058324337005615,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
51,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,51,3,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_51,0.05,0.05,0.0055768489837646,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
52,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,52,5,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_52,0.05,0.05,0.0056805610656738,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
53,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,53,5,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_53,0.05,0.05,0.005613088607788,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
54,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,54,6,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_54,0.05,0.05,0.0062670707702636,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
55,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,55,0,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_55,0.05,0.05,0.006148338317871,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
56,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,56,4,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_56,0.05,0.05,0.0055975914001464,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
57,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,57,1,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_57,0.05,0.05,0.0061349868774414,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
